Vorname,Nachname,Position,Tempo,Schuss,Pass,Zweikampf,Reflexe,Stellungsspiel,Stärke,Team_ID,Herkunft
Nils,Andersen,Stürmer,70,79,80,56,70,83,73,,RUS_EU
Nils,Andersen,Mittelfeld,82,83,76,64,55,74,72,,RUS_EU
Ola,Andersen,Mittelfeld,67,75,75,66,63,66,69,,DE
Ola,Andersen,Verteidiger,71,58,76,94,69,90,76,,DE
Ola,Andersen,Mittelfeld,66,79,79,78,54,78,72,,DE
Ola,Andersen,Mittelfeld,73,65,78,68,56,87,71,,TR_AR
Ola,Andersen,Verteidiger,55,58,78,78,70,83,70,,DE
Ola,Andersen,Mittelfeld,84,68,73,61,51,87,71,,DE
Sven,Andersen,Verteidiger,62,68,69,70,68,92,72,,GR
Sven,Andersen,Stürmer,90,82,78,59,56,72,73,,TR_AR
Sven,Andersen,Mittelfeld,79,61,91,66,63,85,74,,TR_AR
Sven,Andersen,Stürmer,76,94,80,76,68,91,81,,IT
Sven,Andersen,Verteidiger,69,54,75,96,60,71,71,,DE
Sven,Andersen,Verteidiger,55,59,74,89,53,77,68,,DE
Sven,Andersen,Verteidiger,67,61,56,86,51,93,69,,DE
Sven,Andersen,Mittelfeld,75,75,76,83,55,68,72,,DE
Andrew,Anderson,Mittelfeld,76,61,97,84,64,87,78,,ES
Andrew,Anderson,Stürmer,89,82,58,58,65,73,71,,GR
Andrew,Anderson,Verteidiger,58,61,70,85,67,91,72,,TR_AR
Andrew,Anderson,Stürmer,88,76,66,65,68,73,73,,ES
Andrew,Anderson,Mittelfeld,86,63,99,78,60,69,76,,DE
Andrew,Anderson,Verteidiger,60,62,61,99,66,80,71,,DE
Andrew,Anderson,Mittelfeld,83,62,96,82,67,87,80,,IT
Andrew,Anderson,Verteidiger,55,50,78,80,55,90,68,,DE
Daniel,Anderson,Mittelfeld,89,69,94,75,58,87,79,,GR
Daniel,Anderson,Mittelfeld,75,71,86,76,63,86,76,,DE
Daniel,Anderson,Mittelfeld,71,79,100,69,55,82,76,,RUS_EU
David,Anderson,Stürmer,98,100,71,60,69,86,81,,SCANDI
David,Anderson,Verteidiger,74,67,69,99,69,65,74,,DE
David,Anderson,Verteidiger,66,59,75,93,50,77,70,,ES
David,Anderson,Mittelfeld,63,65,75,85,68,73,72,,DE
David,Anderson,Verteidiger,78,62,70,72,55,94,72,,DE
James,Anderson,Mittelfeld,88,74,96,73,50,73,76,,DE
James,Anderson,Verteidiger,60,67,76,97,63,77,73,,GR
James,Anderson,Verteidiger,77,56,72,98,65,84,75,,DE
John,Anderson,Verteidiger,58,64,58,99,69,65,69,,DE
John,Anderson,Verteidiger,75,69,55,95,62,83,73,,TR_AR
John,Anderson,Mittelfeld,86,85,81,63,50,76,74,,RUS_EU
John,Anderson,Mittelfeld,84,82,70,84,54,90,77,,TR_AR
John,Anderson,Verteidiger,72,67,69,83,60,82,72,,RUS_EU
Matthew,Anderson,Mittelfeld,75,74,86,81,51,89,76,,DE
Matthew,Anderson,Stürmer,84,100,77,73,56,90,80,,SCANDI
Matthew,Anderson,Mittelfeld,64,63,84,71,50,71,67,,IT
Michael,Anderson,Mittelfeld,66,76,99,84,52,73,75,,RUS_EU
Michael,Anderson,Mittelfeld,88,83,99,78,62,88,83,,ES
Michael,Anderson,Torwart,68,63,67,69,100,74,74,,TR_AR
Michael,Anderson,Verteidiger,67,70,72,72,54,77,69,,TR_AR
Michael,Anderson,Stürmer,96,90,72,72,57,89,79,,DE
Michael,Anderson,Mittelfeld,89,82,99,81,66,75,82,,DE
Michael,Anderson,Verteidiger,62,50,61,73,58,70,62,,DE
Michael,Anderson,Stürmer,98,80,77,73,60,81,78,,DE
Robert,Anderson,Verteidiger,62,64,61,94,68,68,70,,DE
Robert,Anderson,Verteidiger,67,51,66,89,55,69,66,,DE
Robert,Anderson,Stürmer,77,70,74,69,58,92,73,,BENELUX
Robert,Anderson,Stürmer,80,95,58,59,65,81,73,,DE
Robert,Anderson,Verteidiger,79,63,77,74,58,79,72,,DE
Thomas,Anderson,Stürmer,93,99,62,69,58,78,76,,DE
Thomas,Anderson,Stürmer,98,91,63,69,62,91,79,,EN_US
Thomas,Anderson,Mittelfeld,65,75,100,71,54,86,75,,TR_AR
Thomas,Anderson,Verteidiger,72,63,61,90,58,75,70,,DE
Thomas,Anderson,Mittelfeld,61,72,76,81,65,74,72,,GR
Thomas,Anderson,Verteidiger,63,65,56,79,50,94,68,,SCANDI
William,Anderson,Mittelfeld,66,64,86,73,61,82,72,,DE
William,Anderson,Stürmer,78,98,72,74,51,72,74,,DE
William,Anderson,Stürmer,77,85,76,67,67,86,76,,SCANDI
William,Anderson,Stürmer,93,84,74,67,66,80,77,,SCANDI
William,Anderson,Stürmer,70,81,67,74,61,82,72,,BENELUX
Antonis,Angelopoulos,Mittelfeld,88,83,96,78,60,87,82,,DE
Antonis,Angelopoulos,Mittelfeld,62,83,83,77,56,70,72,,DE
Antonis,Angelopoulos,Mittelfeld,79,61,98,62,65,74,73,,DE
Antonis,Angelopoulos,Verteidiger,74,63,61,89,60,77,71,,TR_AR
Christos,Angelopoulos,Mittelfeld,81,73,94,67,51,75,74,,TR_AR
Christos,Angelopoulos,Mittelfeld,85,72,93,81,54,88,79,,DE
Christos,Angelopoulos,Verteidiger,73,70,66,92,68,65,72,,DE
Christos,Angelopoulos,Verteidiger,58,57,78,80,70,80,70,,DE
Christos,Angelopoulos,Mittelfeld,88,73,96,61,59,84,77,,DE
Dimitris,Angelopoulos,Verteidiger,70,59,77,96,56,72,72,,RUS_EU
Dimitris,Angelopoulos,Stürmer,87,96,72,56,53,91,76,,IT
Dimitris,Angelopoulos,Verteidiger,70,56,57,100,56,66,68,,DE
Dimitris,Angelopoulos,Mittelfeld,84,84,80,70,54,74,74,,DE
Dimitris,Angelopoulos,Mittelfeld,89,77,71,79,66,67,75,,SCANDI
Giorgos,Angelopoulos,Stürmer,74,78,68,79,53,75,71,,BENELUX
Giorgos,Angelopoulos,Stürmer,90,93,79,80,56,94,82,,DE
Kostas,Angelopoulos,Torwart,51,56,75,65,87,69,67,,DE
Kostas,Angelopoulos,Mittelfeld,81,75,96,75,61,78,78,,DE
Kostas,Angelopoulos,Verteidiger,76,51,66,97,68,72,72,,DE
Kostas,Angelopoulos,Mittelfeld,65,67,84,71,59,69,69,,DE
Nikos,Angelopoulos,Torwart,68,60,62,59,70,71,65,,DE
Nikos,Angelopoulos,Mittelfeld,64,80,80,84,53,71,72,,DE
Nikos,Angelopoulos,Verteidiger,56,60,61,71,65,82,66,,TR_AR
Nikos,Angelopoulos,Torwart,51,65,59,59,74,93,67,,DE
Nikos,Angelopoulos,Mittelfeld,69,64,89,70,54,67,69,,DE
Panagiotis,Angelopoulos,Verteidiger,59,66,80,72,63,66,68,,DE
Panagiotis,Angelopoulos,Verteidiger,75,56,72,72,60,67,67,,DE
Panagiotis,Angelopoulos,Verteidiger,60,51,66,94,50,72,66,,ES
Spyros,Angelopoulos,Verteidiger,69,53,75,92,67,74,72,,EN_US
Spyros,Angelopoulos,Torwart,65,50,71,75,75,94,72,,TR_AR
Spyros,Angelopoulos,Verteidiger,79,53,69,86,59,89,72,,IT
Thanasis,Angelopoulos,Stürmer,91,85,65,67,70,83,77,,DE
Thanasis,Angelopoulos,Stürmer,91,97,67,61,50,94,77,,EN_US
Thanasis,Angelopoulos,Verteidiger,78,61,56,94,63,94,74,,DE
Thanasis,Angelopoulos,Torwart,51,51,69,67,84,74,66,,ES
Vasilis,Angelopoulos,Torwart,56,61,62,64,72,87,67,,DE
Vasilis,Angelopoulos,Stürmer,78,86,62,76,63,73,73,,SCANDI
Vasilis,Angelopoulos,Mittelfeld,77,71,98,81,67,75,78,,DE
Vasilis,Angelopoulos,Stürmer,71,84,78,67,51,84,72,,DE
Vasilis,Angelopoulos,Verteidiger,58,63,63,82,69,67,67,,DE
Ahmed,Arslan,Stürmer,92,76,63,60,58,92,74,,DE
Ahmed,Arslan,Mittelfeld,79,65,77,63,68,88,73,,SCANDI
Ahmed,Arslan,Stürmer,92,94,64,80,52,83,78,,SCANDI
Ahmed,Arslan,Verteidiger,76,56,75,90,59,85,74,,DE
Ali,Arslan,Verteidiger,75,55,69,90,68,90,74,,DE
Ali,Arslan,Mittelfeld,83,80,100,64,52,79,76,,DE
Ali,Arslan,Mittelfeld,89,60,74,64,55,74,69,,DE
Ali,Arslan,Mittelfeld,83,77,98,85,59,68,78,,DE
Burak,Arslan,Verteidiger,68,58,59,94,52,91,70,,DE
Burak,Arslan,Mittelfeld,89,69,92,69,53,88,77,,SCANDI
Burak,Arslan,Stürmer,99,95,60,68,55,94,78,,TR_AR
Can,Arslan,Mittelfeld,60,68,93,72,68,73,72,,DE
Can,Arslan,Mittelfeld,71,85,88,66,51,89,75,,DE
Can,Arslan,Verteidiger,76,66,60,91,56,93,74,,SCANDI
Emre,Arslan,Verteidiger,72,70,76,82,68,79,74,,DE
Emre,Arslan,Torwart,54,57,58,72,87,67,66,,DE
Emre,Arslan,Verteidiger,74,52,75,91,53,93,73,,DE
Emre,Arslan,Mittelfeld,83,82,82,70,61,67,74,,TR_AR
Emre,Arslan,Mittelfeld,90,83,95,77,52,73,78,,DE
Hamza,Arslan,Stürmer,84,86,77,63,51,91,75,,RUS_EU
Hamza,Arslan,Verteidiger,74,67,65,71,62,85,71,,SCANDI
Hamza,Arslan,Verteidiger,63,64,62,91,60,72,69,,EN_US
Hamza,Arslan,Mittelfeld,88,64,94,63,61,85,76,,DE
Hamza,Arslan,Stürmer,92,70,58,70,52,76,70,,SCANDI
Hamza,Arslan,Verteidiger,65,64,61,82,69,93,72,,IT
Hassan,Arslan,Stürmer,86,90,68,56,52,89,74,,ES
Hassan,Arslan,Stürmer,91,71,62,73,65,83,74,,DE
Hassan,Arslan,Stürmer,84,92,63,58,69,93,76,,DE
Hassan,Arslan,Mittelfeld,71,84,72,80,58,77,74,,TR_AR
Hassan,Arslan,Mittelfeld,67,69,70,84,55,90,72,,BENELUX
Ibrahim,Arslan,Verteidiger,60,67,69,98,66,77,73,,DE
Ibrahim,Arslan,Mittelfeld,66,76,95,80,64,75,76,,DE
Kerem,Arslan,Stürmer,81,79,73,78,67,77,76,,IT
Kerem,Arslan,Verteidiger,64,59,57,83,56,78,66,,RUS_EU
Kerem,Arslan,Mittelfeld,69,80,94,85,50,86,77,,DE
Kerem,Arslan,Stürmer,76,100,68,74,64,78,77,,DE
Kerem,Arslan,Mittelfeld,67,84,88,67,66,66,73,,DE
Khaled,Arslan,Torwart,56,56,71,73,73,65,66,,DE
Khaled,Arslan,Mittelfeld,82,69,92,72,61,88,77,,DE
Khaled,Arslan,Mittelfeld,62,60,86,64,50,71,66,,EN_US
Khaled,Arslan,Torwart,60,50,65,69,71,84,66,,DE
Khaled,Arslan,Stürmer,81,74,79,72,52,85,74,,DE
Khaled,Arslan,Verteidiger,64,57,60,77,63,67,65,,BENELUX
Mehmet,Arslan,Mittelfeld,79,79,86,61,51,82,73,,EN_US
Mehmet,Arslan,Mittelfeld,71,82,71,71,54,80,72,,DE
Mehmet,Arslan,Mittelfeld,64,77,77,84,53,85,73,,DE
Mehmet,Arslan,Verteidiger,67,60,66,78,70,68,68,,EN_US
Mehmet,Arslan,Verteidiger,62,69,57,84,50,87,68,,DE
Mustafa,Arslan,Mittelfeld,83,60,81,81,69,67,74,,TR_AR
Mustafa,Arslan,Mittelfeld,86,74,93,85,61,89,81,,DE
Mustafa,Arslan,Mittelfeld,72,77,84,77,51,81,74,,DE
Omar,Arslan,Verteidiger,66,70,62,85,69,83,72,,EN_US
Omar,Arslan,Stürmer,82,96,55,71,54,81,73,,TR_AR
Omar,Arslan,Stürmer,78,96,80,73,70,91,81,,DE
Samir,Arslan,Torwart,66,51,57,58,74,69,62,,BENELUX
Samir,Arslan,Stürmer,83,77,70,74,58,92,76,,DE
Samir,Arslan,Stürmer,83,100,78,69,69,78,80,,DE
Samir,Arslan,Torwart,62,55,67,75,97,92,75,,DE
Samir,Arslan,Verteidiger,73,65,55,85,55,84,70,,DE
Yusuf,Arslan,Mittelfeld,69,62,75,79,60,80,71,,DE
Ahmed,Aslan,Verteidiger,66,69,62,73,57,75,67,,DE
Ahmed,Aslan,Mittelfeld,86,60,70,75,63,77,72,,EN_US
Ahmed,Aslan,Torwart,53,65,71,62,90,85,71,,DE
Ahmed,Aslan,Mittelfeld,69,65,88,79,50,65,69,,SCANDI
Ahmed,Aslan,Verteidiger,55,62,57,89,67,66,66,,DE
Ali,Aslan,Verteidiger,75,55,74,82,63,87,73,,DE
Ali,Aslan,Verteidiger,58,68,62,71,56,87,67,,BENELUX
Ali,Aslan,Mittelfeld,74,83,91,72,62,88,78,,DE
Ali,Aslan,Stürmer,97,100,71,55,53,70,74,,ES
Ali,Aslan,Mittelfeld,89,82,70,85,68,73,78,,GR
Ali,Aslan,Torwart,58,56,67,61,98,71,68,,RUS_EU
Burak,Aslan,Stürmer,93,85,74,61,65,85,77,,TR_AR
Burak,Aslan,Mittelfeld,82,77,83,70,62,89,77,,TR_AR
Burak,Aslan,Mittelfeld,83,81,71,74,51,69,72,,GR
Burak,Aslan,Mittelfeld,80,62,91,71,51,76,72,,DE
Burak,Aslan,Verteidiger,71,57,64,80,69,91,72,,SCANDI
Burak,Aslan,Mittelfeld,90,63,91,64,69,88,78,,DE
Burak,Aslan,Mittelfeld,86,79,99,73,61,78,79,,BENELUX
Can,Aslan,Verteidiger,69,64,62,73,55,93,69,,DE
Can,Aslan,Mittelfeld,80,60,74,85,66,88,76,,DE
Can,Aslan,Verteidiger,71,54,79,77,67,72,70,,SCANDI
Can,Aslan,Mittelfeld,84,67,92,66,66,88,77,,DE
Can,Aslan,Mittelfeld,73,78,77,75,62,76,74,,DE
Can,Aslan,Verteidiger,56,66,75,77,65,80,70,,DE
Emre,Aslan,Verteidiger,79,66,58,70,69,79,70,,BENELUX
Emre,Aslan,Mittelfeld,63,67,89,82,52,71,71,,DE
Emre,Aslan,Mittelfeld,64,75,82,63,55,65,67,,DE
Emre,Aslan,Mittelfeld,62,85,97,64,62,89,76,,GR
Emre,Aslan,Mittelfeld,89,73,75,78,60,70,74,,IT
Hamza,Aslan,Stürmer,99,76,62,69,58,92,76,,DE
Hamza,Aslan,Verteidiger,70,61,77,98,67,91,77,,DE
Hamza,Aslan,Stürmer,99,97,57,62,55,88,76,,DE
Hamza,Aslan,Verteidiger,69,68,69,73,68,91,73,,DE
Hassan,Aslan,Mittelfeld,87,60,88,72,60,65,72,,RUS_EU
Hassan,Aslan,Verteidiger,65,57,75,98,60,84,73,,DE
Hassan,Aslan,Mittelfeld,61,68,99,76,70,80,76,,DE
Hassan,Aslan,Mittelfeld,72,70,71,79,58,65,69,,ES
Hassan,Aslan,Verteidiger,77,62,78,77,53,89,73,,RUS_EU
Ibrahim,Aslan,Mittelfeld,61,68,77,74,57,69,68,,DE
Ibrahim,Aslan,Mittelfeld,77,73,100,70,57,71,75,,TR_AR
Kerem,Aslan,Verteidiger,69,69,56,97,64,74,72,,DE
Kerem,Aslan,Mittelfeld,75,79,93,80,68,74,78,,DE
Kerem,Aslan,Mittelfeld,88,77,100,64,70,84,80,,DE
Kerem,Aslan,Mittelfeld,78,73,93,76,57,85,77,,SCANDI
Kerem,Aslan,Mittelfeld,80,76,93,62,70,78,76,,SCANDI
Kerem,Aslan,Torwart,64,60,62,63,70,94,69,,DE
Khaled,Aslan,Stürmer,88,72,58,77,54,91,73,,GR
Khaled,Aslan,Verteidiger,79,64,60,93,68,69,72,,IT
Khaled,Aslan,Verteidiger,62,56,60,82,65,66,65,,ES
Mehmet,Aslan,Torwart,51,65,74,72,82,69,69,,DE
Mehmet,Aslan,Torwart,54,57,62,59,90,78,67,,DE
Mehmet,Aslan,Stürmer,74,95,69,64,68,76,74,,DE
Mehmet,Aslan,Mittelfeld,84,83,98,71,62,68,78,,DE
Mehmet,Aslan,Verteidiger,64,57,71,78,57,71,66,,TR_AR
Mehmet,Aslan,Stürmer,93,70,76,66,61,91,76,,DE
Mustafa,Aslan,Verteidiger,80,64,58,74,56,67,66,,BENELUX
Mustafa,Aslan,Mittelfeld,65,81,76,85,54,76,73,,TR_AR
Mustafa,Aslan,Stürmer,81,81,76,72,56,87,76,,DE
Mustafa,Aslan,Mittelfeld,81,69,83,73,67,74,74,,GR
Mustafa,Aslan,Verteidiger,71,58,73,100,60,88,75,,DE
Omar,Aslan,Mittelfeld,72,84,82,83,51,70,74,,TR_AR
Omar,Aslan,Mittelfeld,60,65,71,73,62,67,66,,BENELUX
Omar,Aslan,Stürmer,78,87,72,61,57,78,72,,IT
Samir,Aslan,Verteidiger,73,59,57,74,61,93,70,,DE
Samir,Aslan,Stürmer,92,93,72,63,65,81,78,,ES
Samir,Aslan,Mittelfeld,73,66,71,73,60,88,72,,DE
Samir,Aslan,Mittelfeld,73,68,72,73,59,76,70,,DE
Yusuf,Aslan,Mittelfeld,62,73,99,70,60,87,75,,EN_US
Yusuf,Aslan,Stürmer,72,84,59,65,66,80,71,,TR_AR
Ahmed,Aydin,Verteidiger,55,68,77,96,59,95,75,,DE
Ahmed,Aydin,Verteidiger,67,63,79,73,59,72,69,,ES
Ahmed,Aydin,Mittelfeld,64,61,75,81,54,85,70,,DE
Ahmed,Aydin,Mittelfeld,63,82,75,84,67,77,75,,DE
Ahmed,Aydin,Verteidiger,79,64,72,79,70,66,72,,DE
Ahmed,Aydin,Verteidiger,56,61,79,73,55,91,69,,ES
Ali,Aydin,Stürmer,88,79,61,68,59,93,75,,DE
Ali,Aydin,Stürmer,80,74,61,78,62,91,74,,DE
Ali,Aydin,Verteidiger,58,60,80,70,60,66,66,,SCANDI
Ali,Aydin,Mittelfeld,90,85,81,78,54,84,79,,TR_AR
Burak,Aydin,Stürmer,88,98,61,57,70,79,76,,SCANDI
Burak,Aydin,Verteidiger,78,55,64,86,50,66,66,,DE
Burak,Aydin,Mittelfeld,71,77,98,72,64,85,78,,SCANDI
Burak,Aydin,Verteidiger,77,68,76,88,55,72,73,,EN_US
Burak,Aydin,Mittelfeld,78,77,85,67,60,88,76,,ES
Burak,Aydin,Verteidiger,77,52,62,78,54,80,67,,DE
Burak,Aydin,Mittelfeld,90,61,97,65,60,67,73,,GR
Can,Aydin,Mittelfeld,74,71,91,85,61,74,76,,BENELUX
Can,Aydin,Verteidiger,69,63,66,73,58,89,70,,DE
Can,Aydin,Verteidiger,64,59,74,82,63,91,72,,IT
Can,Aydin,Mittelfeld,84,64,88,62,52,71,70,,DE
Can,Aydin,Mittelfeld,88,71,85,60,61,80,74,,DE
Emre,Aydin,Verteidiger,61,61,71,100,70,69,72,,SCANDI
Emre,Aydin,Mittelfeld,89,73,86,65,62,79,76,,IT
Emre,Aydin,Mittelfeld,77,61,98,81,56,76,75,,RUS_EU
Hamza,Aydin,Mittelfeld,71,60,70,64,51,68,64,,DE
Hamza,Aydin,Mittelfeld,81,70,80,77,63,87,76,,RUS_EU
Hamza,Aydin,Verteidiger,80,64,56,76,66,83,71,,DE
Hamza,Aydin,Mittelfeld,89,67,83,69,54,76,73,,DE
Hamza,Aydin,Verteidiger,57,65,65,97,56,91,72,,DE
Hamza,Aydin,Stürmer,96,96,55,71,56,71,74,,SCANDI
Hamza,Aydin,Mittelfeld,63,68,87,75,50,81,71,,DE
Hassan,Aydin,Verteidiger,61,66,73,73,69,68,68,,DE
Hassan,Aydin,Stürmer,78,70,55,72,64,92,72,,DE
Ibrahim,Aydin,Stürmer,77,92,77,75,69,79,78,,ES
Ibrahim,Aydin,Verteidiger,78,54,70,85,70,92,75,,RUS_EU
Ibrahim,Aydin,Mittelfeld,63,77,82,67,56,68,69,,DE
Ibrahim,Aydin,Stürmer,78,91,58,68,57,70,70,,TR_AR
Ibrahim,Aydin,Mittelfeld,63,79,90,84,60,78,76,,GR
Kerem,Aydin,Mittelfeld,76,79,81,71,57,76,73,,DE
Kerem,Aydin,Verteidiger,69,64,76,92,57,91,75,,DE
Kerem,Aydin,Verteidiger,65,57,65,83,51,78,66,,TR_AR
Kerem,Aydin,Stürmer,84,82,61,73,64,76,73,,TR_AR
Kerem,Aydin,Verteidiger,76,66,70,97,65,81,76,,DE
Khaled,Aydin,Mittelfeld,76,84,87,80,59,90,79,,SCANDI
Khaled,Aydin,Verteidiger,77,56,62,84,63,76,70,,DE
Khaled,Aydin,Mittelfeld,60,68,99,83,53,84,74,,DE
Khaled,Aydin,Mittelfeld,79,82,78,61,62,88,75,,DE
Khaled,Aydin,Stürmer,77,99,80,76,63,84,80,,ES
Khaled,Aydin,Stürmer,84,87,64,57,70,71,72,,DE
Mehmet,Aydin,Verteidiger,76,54,78,96,50,93,74,,RUS_EU
Mehmet,Aydin,Stürmer,86,94,57,67,57,90,75,,ES
Mehmet,Aydin,Mittelfeld,61,60,98,63,60,71,69,,ES
Mehmet,Aydin,Stürmer,83,82,68,65,61,85,74,,DE
Mustafa,Aydin,Stürmer,71,89,60,58,53,86,70,,DE
Mustafa,Aydin,Verteidiger,63,64,73,100,52,79,72,,SCANDI
Mustafa,Aydin,Mittelfeld,71,77,98,71,57,72,74,,DE
Mustafa,Aydin,Torwart,55,63,64,70,71,77,67,,SCANDI
Mustafa,Aydin,Verteidiger,64,67,62,96,57,85,72,,RUS_EU
Omar,Aydin,Stürmer,80,88,64,75,57,84,75,,DE
Omar,Aydin,Mittelfeld,63,68,77,61,62,70,67,,DE
Samir,Aydin,Verteidiger,58,51,62,95,51,95,69,,DE
Samir,Aydin,Mittelfeld,62,79,82,81,63,67,72,,TR_AR
Samir,Aydin,Mittelfeld,69,82,98,85,50,72,76,,EN_US
Yusuf,Aydin,Verteidiger,67,52,58,96,63,68,67,,DE
Yusuf,Aydin,Mittelfeld,62,78,89,67,55,65,69,,IT
Bram,Bakker,Mittelfeld,75,65,80,74,52,70,69,,DE
Bram,Bakker,Torwart,66,61,74,72,97,73,74,,TR_AR
Bram,Bakker,Stürmer,75,98,67,56,68,72,73,,DE
Bram,Bakker,Mittelfeld,88,79,78,62,51,67,71,,TR_AR
Bram,Bakker,Verteidiger,68,50,78,86,65,93,73,,DE
Daan,Bakker,Mittelfeld,67,83,92,75,68,73,76,,TR_AR
Daan,Bakker,Verteidiger,60,62,68,97,63,91,74,,DE
Daan,Bakker,Verteidiger,65,66,76,86,58,84,72,,DE
Daan,Bakker,Verteidiger,61,67,76,96,52,83,72,,DE
Daan,Bakker,Verteidiger,70,54,74,83,58,93,72,,DE
Daan,Bakker,Mittelfeld,60,70,90,60,70,86,73,,DE
Jan,Bakker,Mittelfeld,73,81,87,64,58,78,74,,TR_AR
Jan,Bakker,Stürmer,96,100,56,67,53,94,78,,DE
Jan,Bakker,Mittelfeld,66,84,91,72,59,76,75,,BENELUX
Jelle,Bakker,Stürmer,70,89,70,71,61,88,75,,DE
Jelle,Bakker,Mittelfeld,73,83,83,80,60,67,74,,DE
Jelle,Bakker,Verteidiger,80,57,71,72,64,65,68,,DE
Jelle,Bakker,Mittelfeld,65,64,97,63,57,90,73,,IT
Jelle,Bakker,Stürmer,86,70,72,76,67,85,76,,DE
Jelle,Bakker,Stürmer,82,75,79,63,65,78,74,,DE
Jelle,Bakker,Torwart,60,65,64,64,77,86,69,,DE
Joris,Bakker,Mittelfeld,87,60,70,64,66,82,72,,BENELUX
Joris,Bakker,Mittelfeld,71,71,100,65,59,79,74,,DE
Joris,Bakker,Verteidiger,64,65,80,92,62,73,73,,DE
Joris,Bakker,Verteidiger,64,64,56,97,70,86,73,,IT
Koen,Bakker,Mittelfeld,71,84,85,68,61,83,75,,DE
Koen,Bakker,Mittelfeld,61,70,98,66,70,73,73,,SCANDI
Koen,Bakker,Mittelfeld,66,83,78,83,65,74,75,,DE
Koen,Bakker,Verteidiger,71,68,68,99,69,66,74,,TR_AR
Koen,Bakker,Verteidiger,78,64,55,88,51,82,70,,DE
Pieter,Bakker,Mittelfeld,61,78,70,71,51,86,70,,DE
Pieter,Bakker,Mittelfeld,83,71,80,61,70,81,74,,DE
Pieter,Bakker,Mittelfeld,74,78,91,69,58,74,74,,SCANDI
Sven,Bakker,Mittelfeld,79,76,94,64,69,78,77,,DE
Sven,Bakker,Verteidiger,64,60,77,82,54,74,68,,DE
Sven,Bakker,Stürmer,90,83,65,63,70,89,77,,DE
Thijs,Bakker,Stürmer,84,73,63,74,69,87,75,,DE
Thijs,Bakker,Mittelfeld,67,65,80,78,70,65,71,,DE
Thijs,Bakker,Mittelfeld,76,72,80,71,59,76,72,,DE
Thijs,Bakker,Verteidiger,76,64,60,86,51,71,68,,SCANDI
Thijs,Bakker,Verteidiger,56,51,60,92,54,93,68,,IT
Thijs,Bakker,Mittelfeld,62,74,89,65,69,72,72,,SCANDI
Thijs,Bakker,Mittelfeld,63,68,79,85,55,83,72,,DE
Wouter,Bakker,Verteidiger,66,53,74,73,58,81,68,,RUS_EU
Wouter,Bakker,Torwart,57,61,65,62,75,81,67,,GR
Wouter,Bakker,Mittelfeld,64,78,87,70,56,66,70,,DE
Daniel,Becker,Mittelfeld,62,69,90,75,62,68,71,,GR
Daniel,Becker,Mittelfeld,81,84,91,67,70,71,77,,DE
Daniel,Becker,Verteidiger,71,65,69,70,60,68,67,,DE
Daniel,Becker,Verteidiger,58,60,55,81,70,82,68,,RUS_EU
